Fines	Areas_actividad	TM 	frequency_l1	keywords_l1	frequency_l2	keywords_l2
- The promotion of the sport. - The promotion of civic values, educational and cultural. - The attention to the people in risk of exclusion by physical reasons, economic or cultural.	Cultural - education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
1. Improve the conditions of life of big people, of people with disabled and of people with illness, especially of the more desvalidas, with actions of socialisation, of received and of assistance. 2. Procure the satisfaction of the needs of social attention of the big people and people with risk and/or in situation of vulnerability by means of the mutual help and the mediación in his demand of resources. 3. Promote and preserve the rights and the interests of the greater people and his families and of the people with risk and/or in situation of vulnerability.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Roots is a private foundation devoted to the attention of people without home of barcelona. The entity was born the 1987 and has like aim collaborate in the integral development of the people in situation of social exclusion, specifically in the one of the people without home that find  in a more critical situation. In the decurso of our task have attended near of 6.000 people and at present collaborate with multiple entities.	Education - corporate social responsibility - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Actions, like organisation no governmental formed by youngsters, adults and greater people, of cooperation and development with the most needed population of the hospitalet of llobregat and of the south countries. Also it pretends to sensitise the Catalan society to the reality of the immigrants and of the most disadvantaged communities that live in our country and give to know the situations of injustice of the south countries.	Received and training - education by the global justice - point Òmnia	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The foundation will have a charitable character-asistencial and will be oriented to improve the integral assistance of the boys and young affected by illnesses preferably and no exclusive oncológicas independently of his place of origin, by means of specific programs of social order, psychological, economic and technician.	Health (hospitable) - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
• Support, stimulate and improve the structuring and development of the personality of the minors and young. • Favour the socialisation and integration of the minors and his families. • Warn and avoid the deterioration of the situations of risk. • concienciar To the society on the situation of social vulnerability of the minors and his families	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Main aim: develop, of way ¬pecífica, an action socioeducativa with boys and teenage in situation of risk of social exclusion and promote specific projects of insertion labour¬partner of youngsters and adults, residential centres for minors and projects of inclusion of pertinent people other cultures. - Collaborate in all the educational works of the fma to support, with the available resources, to all types of complementary activities, directed so much to educators like addressees, that favour an integral education, from a suitable orientation psicopedagógica until sportive activities and of leisure, formative, cultural and scientific. -Promote projects of international cooperation.	Cultural - education - sportive - health (hospitable) - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
We work for a society inclusiva. Especially we want to improve the quality of life of the groups or minorities that find  with difficulties in his personal development, familiar or social. We consider that the causes of the situations of exclusion are been due to social dynamics that it is necessary to change. We prioritise the realisation of projects socioeducatius, the sensitisation of the public opinion, the training of the professionals and the impulse and collaboration with other entities and the public administration.	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Improve the health of the most vulnerable populations here and alla: • to local level: through programs partner is with the aim to improve the attention to the health, the nutrition and the habits healthy of boys and youngsters more disadvantaged to catalunya especially and also to other places of espanya. • To international level : through projects of global health and cooperation, with the aim to transfer experience, resources and knowledges like engine of change and of social transformation in the most vulnerable zones of the planet.	Cooperation-desenvolulpament-international - research - health (hospitable) - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Support directly or through helps to third, to: -people in risk of social exclusion by any one causes -projects, people and actions of the field of the investigation, education, health, sport and religion	Cultural - education - research - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
- Improve the ocupabilitat and the labour insertion of communities in risk, prioritariamente young. - Fight against the poverty. - Improve the psychosocial attention of patients, in particular of cancer.	Cooperation-desenvolulpament-international - education	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Assistance and integration for boys, girls and youngsters that find  in situation of familiar abandonment.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The gasol foundation works to reduce the childish obesity through the promotion of the sport and the physical activity, a healthy feeding, the hours and the quality of the rest and the emotional balance of boys and girls, young and his famíllies.	Promotion of the health - education - research	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Promote all type of activities of social interest related with the assistance, inclusion  social promotion of boys and boys with disabled or in situation of special risk, need, or without economic resources, and in general, with the cooperation for the development of the infancy and the youth.	Education	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Look after the defence of the rights of the boys and/or youngsters in general, with special quotation of those that are or have been in situation of social risk and attending primordialmente to those that have been tutelados by the administration.	Education - health (hospitable) - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Receive to the minors and his families in situation of the vulnerability and rich of social exclusion, and accompany them in his processes socioeducatius because, in some plural surroundings, arrive to be active members of change verse a more merged society and juster. Vision: be an entity generadora of spaces d‘equality, participation, growth and transformation for the boys, teenage, young and families of the neighbourhood, regarding badalona by his style of work of quality, sustainable, comunitario and in network.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The construction, attention and maintenance of a residence for the third age to luck	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Received, cure and education of boys and teenage with risk. Also a service of received familiar simple.	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Material help for the sanitary and hospitable assistance. Educational assistance, cultural and sportive. Assistance and protection of boys. Assistance to the third age. Assistance and protection to social communities marginados of help, like the immigration, incapacitated, drogadictas... For the provision of services asistenciales to the third world or zones in conflict bélico.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Promote the education, the training, the assistance and the protection of the minors and of the boys, the youngsters, the adults and the family from a global perspective, integradora and interdisciplinary, in the educational fields, social and of health.	Research - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The foundation has by object the following purposes: - training, education and sensitisation. - Support to communities in risk of social exclusion and needy people.	Environment - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The education and the social insertion of boys, teenage and young in situation of social vulnerability. We want to be a key piece in the social and educational intervention in the neighbourhood of the ancient helmet of barcelona. Therefore we will keep the commitment to improve the quality of life of the most disadvantaged people, generating opportunities of future.	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Attend and give assistance to needy people. In particular, help the infancy in situation of high social risk and to big people with few financial resources or that suffer the soledat.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Help to surpass situations of inequality, marginalisation or exclusion to achieve the insertion sociolaboral of communities in situation of exclusion, promoting and realising projects and services that allow to give occupation or serve of learning.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Promotion of initiatives for teenagers, young and adults of popular environments that favour his insertion in the diverse social fields, especially the labour.	Education	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Promotion and promotion of the solidarity, headed to communities in situation of social marginalisation.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Watch for the integral attention of people in risk of social exclusion.	Cultural - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Assistance to people situated in acute levels of desarraigo social (wandering, transeúntes, without ceiling). Assistance and forecast of risks, in favour of boys, children of families desestructuradas by diverse causes and with economic resources very low.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
With the aim to improve the health and the welfare of the population, the foundation has like purpose put near at hand of the citizens the sanitary attention integral, from the human and technical excellence of his professionals, based in the with regard to the people in all his dimensions, and with criteria of sustainability, efficiency and responsibility. The vision of the entity is to achieve: better health, better attention, better professionals, sustainability, innovation and better teaching.	Health (hospitable)	Science & Technology	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	217	technolog (234), compani (188), innov (178), sector (108), busi (94), competit (75), inform (71), industri (70), manag (55), product (53), servic (47), transfer (38), communic (34), market (34), applic (34), european (33), administr (29), system (29), facilit (27), generat (27), 
His aims prioritarios are: - promote the dialogue and cooperation between the different actors that take part in the activity of the textile sector. - Boost the design, the innovation and the investigation for the improvement of the products and processes, aixi like the excellence of the business management.	Divulging	Science & Technology	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	217	technolog (234), compani (188), innov (178), sector (108), busi (94), competit (75), inform (71), industri (70), manag (55), product (53), servic (47), transfer (38), communic (34), market (34), applic (34), european (33), administr (29), system (29), facilit (27), generat (27), 
The foundation technological institute of lleida (itl), is a non-profit entity devoted to the provision of technological services advanced, training, advice and diffusion of technology related with the sector of the construction and, of special way in the field of the materials, his behaviour and the surroundings and with increasing activity in the field of the sustainable construction.	Cultural - education - environment - research	Science & Technology	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	217	technolog (234), compani (188), innov (178), sector (108), busi (94), competit (75), inform (71), industri (70), manag (55), product (53), servic (47), transfer (38), communic (34), market (34), applic (34), european (33), administr (29), system (29), facilit (27), generat (27), 
Provision of sanitary and social services to the population of reference following the marked aims in the mission like company of services.	Health (hospitable)	Science & Technology	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	217	technolog (234), compani (188), innov (178), sector (108), busi (94), competit (75), inform (71), industri (70), manag (55), product (53), servic (47), transfer (38), communic (34), market (34), applic (34), european (33), administr (29), system (29), facilit (27), generat (27), 
A centre of reference in the field of the technologies of the production, developing projects of transfer of technology, research and activities of training for the industrial surroundings.	Education - research	Science & Technology	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	217	technolog (234), compani (188), innov (178), sector (108), busi (94), competit (75), inform (71), industri (70), manag (55), product (53), servic (47), transfer (38), communic (34), market (34), applic (34), european (33), administr (29), system (29), facilit (27), generat (27), 
